,Unnamed: 0,Type,BSM,Identifiant du destinataire,Position du récepteur X,Position Y du récepteur,Position du récepteur Z,BSM a été transmis,Identifiant émetteur,ID BSM,Position X émetteur,Position Y émetteur,Position Z de émetteur,Vitesse X de émetteur,Vitesse Y de émetteur,Vitesse Z de émetteur,RSSI du signal reçu,Label
103,103,3.0,21725.966904662557,1648.0,3470.0203749215684,5180.215794603922,1.895,21725.96679664673,1519.0,1540440.0,3596.539593544572,5933.136863664792,1.895,3.894397632069887,-31.442504510956127,0.0,1.2608623631385626e-08,16.0
104,104,3.0,21726.00947366893,1648.0,3470.023698698663,5180.444470467968,1.895,21726.009356701747,85.0,1541103.0,4606.869240621676,5421.8031768332285,1.895,-3.816163449264344,-0.7466845458628155,0.0,8.023962427579179e-07,16.0
105,105,3.0,21726.116017920423,1648.0,3470.0272771394043,5180.690667191022,1.895,21726.11590494346,1105.0,1542103.0,3146.5627422237353,5278.52550617378,1.895,11.020507498587351,-6.948266813015317,0.0,8.695266190413109e-09,0.0
106,106,3.0,21726.143948948717,1648.0,3470.0272771394043,5180.690667191022,1.895,21726.143837099942,1381.0,1542203.0,3173.1455392335315,5245.237400679111,1.895,0.0,0.0,0.0,2.878883083997316e-09,0.0
107,107,3.0,21726.165765527363,1648.0,3470.0272771394043,5180.690667191022,1.895,21726.165647483664,1477.0,1542887.0,3624.232987643723,5360.17893685627,1.895,3.8282377605561964,-30.91583339466527,0.0,1.0616795777785952e-08,0.0
108,108,3.0,21726.260905481657,1648.0,3470.031191798199,5180.95999571609,1.895,21726.260789489417,1573.0,1543584.0,3600.6795615042147,5539.498989240816,1.895,-2.57534673069433,31.43819209641216,0.0,3.827825699031327e-09,0.0
109,109,3.0,21726.44037388156,1648.0,3470.039751515244,5181.5489042487625,1.895,21726.44026652421,1543.0,1544998.0,3603.467314738933,5589.550989698827,1.895,2.6734780749685583,-31.757502448973923,0.0,6.093007586852565e-09,0.0
110,110,3.0,21726.442148885933,1648.0,3470.039751515244,5181.5489042487625,1.895,21726.442035630345,511.0,1545157.0,3479.000250848442,5190.913653707149,1.895,-0.0,-0.0,0.0,2.487781608567336e-07,0.0
111,111,3.0,21726.520902961463,1648.0,3470.04452222219,5181.877128886672,1.895,21726.52079288648,1591.0,1545493.0,3629.6639959199574,5261.847025732971,1.895,-3.1127053224229986,37.9974388457849,0.0,3.789823035196877e-09,16.0
112,112,3.0,21726.56548699213,1648.0,3470.04452222219,5181.877128886672,1.895,21726.56538008479,1603.0,1545987.0,3603.0596824006407,5510.443989747849,1.895,-2.5711172788431758,31.38656164287672,0.0,7.280542582738874e-09,0.0
113,113,3.0,21726.644567833624,1648.0,3470.04960024531,5182.226496877339,1.895,21726.644453661655,1567.0,1546733.0,3599.325715313929,5638.747897320306,1.895,2.8341452745237485,-33.66602342438106,0.0,2.019494507821688e-09,0.0
114,114,3.0,21726.684888102463,1648.0,3470.04960024531,5182.226496877339,1.895,21726.68477591868,1579.0,1547155.0,3597.326481966041,5679.990058581705,1.895,1.4500080261819437,-33.76541417334873,0.0,2.819244407555833e-09,0.0
115,115,3.0,21726.695048219066,1648.0,3470.04960024531,5182.226496877339,1.895,21726.69493026086,1507.0,1547445.0,3621.1132815303117,5385.372856480673,1.895,3.8826420392501664,-31.3551879283217,0.0,1.0615308866611785e-08,0.0
116,116,3.0,21726.726256819424,1648.0,3470.055044938419,5182.601091763251,1.895,21726.72614929564,1501.0,1548100.0,3813.963988750302,5248.865435314237,1.895,1.4922797394179586,3.9370503619450967,0.0,7.50982587104631e-09,0.0
